Team,E1,E2,E1_COST,E2_COST,TOTAL_COST
frc1086,VAPOR,VAGLE,94,11,105
frc1111,MDSEV,MDOWI,22,46,68
frc1123,VAASH,VAFAL,92,15,107
frc116,VAASH,VAFAL,104,24,128
frc122,VAPOR,VAGLE,27,78,105
frc1262,VABLA,VAPOR,108,239,347
frc1389,MDSEV,VAFAL,43,26,69
frc1418,VAASH,VAFAL,89,5,94
frc1446,VAASH,MDOWI,100,59,159
frc1522,VAPOR,VAGLE,99,25,124
frc1599,VAPOR,VAGLE,99,25,124
frc1610,VAPOR,VAGLE,52,100,152
frc1629,VABLA,MDOWI,279,159,438
frc1719,MDSEV,MDOWI,33,11,44
frc1727,MDSEV,MDOWI,35,19,54
frc1731,VAASH,VAPOR,85,169,254
frc1793,VAPOR,VAGLE,27,96,123
frc1885,VAASH,VAFAL,97,28,125
frc1895,VAASH,VAFAL,91,31,122
frc1908,VAPOR,VAGLE,69,144,213
frc1915,MDSEV,VAFAL,42,36,78
frc2028,VAPOR,VAGLE,31,86,117
frc2068,VAASH,VAFAL,91,33,124
frc2106,VAPOR,VAGLE,117,25,142
frc2186,VAASH,VAFAL,104,24,128
frc2199,MDSEV,MDOWI,35,16,51
frc2363,VAPOR,VAGLE,35,77,112
frc2377,MDSEV,MDOWI,13,34,47
frc2421,VAASH,VAFAL,85,20,105
frc2534,MDSEV,MDOWI,38,20,58
frc2537,MDSEV,MDOWI,27,35,62
frc2849,MDSEV,MDOWI,26,37,63
frc2890,VAASH,VAPOR,132,38,170
frc2900,VAASH,VAFAL,95,17,112
frc2912,MDSEV,MDOWI,42,63,105
frc2914,MDSEV,VAFAL,53,26,79
frc2961,VAASH,VAFAL,99,31,130
frc2988,VABLA,VAFAL,205,61,266
frc2998,VAPOR,VAGLE,96,18,114
frc3136,VAASH,VAGLE,7,20,27
frc3359,VAPOR,VAGLE,12,103,115
frc3361,VABLA,VAGLE,118,87,205
frc3373,VAASH,VAFAL,87,43,130
frc339,VAASH,VAGLE,50,59,109
frc346,VAPOR,VAGLE,112,32,144
frc3748,MDSEV,MDOWI,24,27,51
frc3793,MDSEV,MDOWI,56,55,111
frc384,VAPOR,VAGLE,100,14,114
frc3939,VABLA,VAGLE,56,145,201
frc401,VABLA,VAGLE,11,188,199
frc404,VAPOR,VAGLE,92,43,135
frc4099,VAASH,MDOWI,127,72,199
frc422,VAPOR,VAGLE,92,22,114
frc4286,VAPOR,VAGLE,87,19,106
frc4456,MDSEV,VAFAL,49,34,83
frc4464,MDSEV,MDOWI,25,43,68
frc4472,VAASH,VAFAL,72,24,96
frc449,MDSEV,MDOWI,34,47,81
frc4505,MDSEV,MDOWI,29,8,37
frc4541,MDSEV,MDOWI,8,33,41
frc4638,VAASH,VAFAL,115,36,151
frc4821,MDSEV,VAFAL,50,35,85
frc5115,MDSEV,MDOWI,41,55,96
frc5243,VAASH,VAFAL,91,27,118
frc5338,VAASH,VAFAL,118,38,156
frc539,VAPOR,VAGLE,101,27,128
frc540,VAPOR,VAGLE,109,16,125
frc5549,VAASH,VAFAL,89,5,94
frc5587,VAASH,VAFAL,90,23,113
frc5724,VABLA,VAGLE,45,158,203
frc5804,VAPOR,VAGLE,106,20,126
frc5830,MDSEV,MDOWI,13,37,50
frc5841,MDSEV,MDOWI,59,58,117
frc5954,VAPOR,VAGLE,144,82,226
frc611,VAASH,VAFAL,96,11,107
frc612,VAASH,VAFAL,100,22,122
frc614,VAASH,VAFAL,87,26,113
frc617,VAPOR,VAGLE,80,26,106
frc6189,VAPOR,VAGLE,139,50,189
frc619,VABLA,VAGLE,143,59,202
frc6194,VAPOR,VAGLE,141,56,197
frc620,VAASH,VAFAL,99,18,117
frc623,VAASH,VAFAL,99,18,117
frc6239,MDSEV,VAFAL,42,34,76
frc6326,MDSEV,MDOWI,20,27,47
frc6504,VAASH,VAFAL,88,9,97
frc6802,VABLA,VAGLE,109,286,395
frc686,MDSEV,MDOWI,72,60,132
frc6863,MDSEV,MDOWI,27,36,63
frc6882,VAASH,VAGLE,50,59,109
frc7429,VAPOR,VAGLE,109,23,132
frc7770,MDSEV,MDOWI,45,45,90
frc7886,MDSEV,MDOWI,59,58,117
frc8197,MDSEV,MDOWI,32,50,82
frc8230,VAASH,VAFAL,89,21,110
frc8326,MDSEV,VAFAL,53,26,79
frc836,VAASH,VAGLE,103,111,214
frc8514,MDSEV,MDOWI,38,33,71
frc8590,VAASH,VAFAL,92,15,107
frc8592,VAASH,VAFAL,92,15,107
frc8622,MDSEV,MDOWI,9,37,46
frc8726,MDSEV,MDOWI,49,49,98
frc888,MDSEV,MDOWI,31,32,63
frc9003,VABLA,VAPOR,119,221,340
frc9033,VAASH,VAFAL,89,17,106
frc9072,MDSEV,MDOWI,16,28,44
frc9214,VAPOR,VAGLE,17,126,143
frc9235,VAASH,VAFAL,112,39,151
frc977,VABLA,VAPOR,164,173,337
